"dynasty","name","portrait_url","reign_start_year","reign_length_days","succession","fate","hint","description","birthplace","religion","hide"
"Isaurian dynasty","Constantine V","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/Solidus_of_Constantine_V_%28transparent_background%29.png/200px-Solidus_of_Constantine_V_%28transparent_background%29.png","741","12497","Dynastic succession","Natural causes","His religious policy brought future condemnation, but his military success couldn't be erased.","Constantine V inherited the throne from Leo III but was briefly overthrown by his brother-in-law Artabasdos early in his reign. A capable military leader who won major victories against the Bulgars and Arabs, he was reviled by later church writers for his aggressive iconoclasm.","Constantinople","Iconoclast","false"
"Isaurian dynasty","Artabasdos","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Solidus_of_Artabasdos.png/200px-Solidus_of_Artabasdos.png","741","880","Usurped","Deposed","""Usurped the throne from the """"Dung-named"""", just to lose it 2 years later.""","Artabasdos was a son-in-law of Leo III who seized the throne from Constantine V, positioning himself as a defender of icons against iconoclasm. He was overthrown after about two years, blinded, and confined to a monastery.","Armenia","Orthodox","false"
"Isaurian dynasty","Leo IV","https://upload.wikimedia.org/wikipedia/commons/thumb/8/88/Solidus_of_Leo_IV_and_Constantine_VI.png/200px-Solidus_of_Leo_IV_and_Constantine_VI.png","775","1815","Dynastic succession","Natural causes","Named for his mother's steppe people, he may have died from putting on the wrong headgear.","Leo IV was known as 'the Khazar' after his mother's people and continued his father Constantine V's iconoclast policies in a somewhat milder form. He died young, possibly from a fever caused by wearing a sacred crown kept in the Hagia Sophia.","Constantinople","Iconoclast","false"
"Isaurian dynasty","Constantine VI","https://upload.wikimedia.org/wikipedia/commons/thumb/0/03/Solidus_of_Constantine_VI.png/200px-Solidus_of_Constantine_VI.png","780","6181","Dynastic succession","Deposed","Blinded by his mum.","Constantine VI became emperor as a child under his mother Irene's regency. When he tried to assert his own authority as an adult, Irene overthrew him and had him blinded, likely fatally, making herself sole ruler.","Constantinople","Orthodox","false"
"Isaurian dynasty","Irene","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b2/Solidus_of_Irene.png/200px-Solidus_of_Irene.png","797","1897","Marriage","Deposed","An ambitious woman whose gender brought a coronation in Rome.","Irene was an Athenian who married Emperor Leo IV and served as regent for her son Constantine VI. After blinding and deposing her own son, she became the first woman to rule the Roman Empire in her own right, which Charlemagne used to justify his own imperial coronation.","Greece","Orthodox","false"
"Nikephorian dynasty","Nikephoros I","https://upload.wikimedia.org/wikipedia/commons/e/e3/Nikephoros_I_Logothetes.jpg","802","3186","Usurped","Killed in battle","A taxman whose skull became a barbarian king's drinking cup.","Nikephoros I was a former finance minister who overthrew the empress Irene and imposed unpopular taxes to rebuild the treasury. He was killed in a catastrophic defeat by the Bulgar Khan Krum, who allegedly had his skull lined with silver and used as a drinking cup.","Anatolia","Orthodox","false"
"Nikephorian dynasty","Staurakios","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6e/Emperor_Staurakios.jpg/200px-Emperor_Staurakios.jpg","802","64","Dynastic succession","Abdicated","Paralyzed in the same attack that killed his father, he was pushed aside within weeks.","Staurakios was severely wounded in the same Bulgar ambush that killed his father Nikephoros I, leaving him paralyzed from the waist down. Unable to govern, he was pressured to abdicate after about two months in favor of his brother-in-law Michael I.","Constantinople","Orthodox","false"
"Nikephorian dynasty","Michael I Rangabe","https://upload.wikimedia.org/wikipedia/commons/d/db/Byzantine_co-emperor.jpg","811","644","Marriage","Abdicated","He reversed his predecessors' religious policy but couldn't win a battle, so he became a monk.","Michael I Rangabe was a son-in-law of Nikephoros I who took the throne after his brother-in-law Staurakios's incapacitation. He reversed iconoclast policies but proved an ineffective military commander, losing the Battle of Versinikia to the Bulgars and abdicating to become a monk.","Constantinople","Orthodox","false"
"Nikephorian dynasty","Leo V the Armenian","https://upload.wikimedia.org/wikipedia/commons/8/89/Leo_V_in_Madrid_Skylitzes.jpg","813","2719","Usurped","Murdered","Murdered on a holy morning in a chapel by friends of the man in his dungeon.","Leo V the Armenian was a general who took the throne after Michael I's military failures and revived the iconoclast policy. He was assassinated on Christmas Day in 820 AD in a chapel by supporters of Michael the Amorian, whom he had imprisoned.","Armenia","Iconoclast","false"
"Amorian dynasty","Michael II the Amorian","https://upload.wikimedia.org/wikipedia/commons/thumb/1/14/Michael_II_in_the_Madrid_Skylitzes_%28cropped%29.jpg/200px-Michael_II_in_the_Madrid_Skylitzes_%28cropped%29.jpg","820","3197","Usurped","Natural causes","He was in chains waiting to die when his friends killed the ruler and set him free.","Michael II was a former soldier and childhood friend of Leo V who was in chains awaiting execution when his supporters assassinated Leo and freed him. He founded the Amorian dynasty and dealt with a major rebellion by Thomas the Slav.","Anatolia","Iconoclast","false"
"Amorian dynasty","Theophilos","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2c/Theophilos_%28cropped2%29.jpg/200px-Theophilos_%28cropped2%29.jpg","829","4488","Dynastic succession","Natural causes","The last iconoclast, he loved eastern art and lost his hometown to the caliph.","Theophilos was the last Byzantine emperor to actively enforce iconoclasm and was a patron of the arts, fascinated by Arab culture. He suffered a major defeat when the Abbasid caliph al-Mu'tasim sacked his birthplace of Amorion in 838 AD.","Constantinople","Iconoclast","false"
"Amorian dynasty","Michael III","https://upload.wikimedia.org/wikipedia/commons/0/0e/Michael_iii.jpg","842","9369","Dynastic succession","Murdered","Hostile sources call him a drunk, and he was killed by his stablehand.","Michael III became emperor as a small child under his mother Theodora's regency and presided over an important cultural and missionary revival. He was murdered by Basil the Macedonian, a former stable hand he had elevated to co-emperor.","Constantinople","Orthodox","false"
"Macedonian dynasty","Basil I the Macedonian","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2b/Roman_Emperor_Basil_I_%28cropped%29.png/200px-Roman_Emperor_Basil_I_%28cropped%29.png","867","6905","Usurped","Natural causes","From mucking out stalls to founding a dynasty, with a murder in between.","Basil I was an Armenian peasant who rose from stable hand to co-emperor by gaining Michael III's favor, then murdered his patron to seize the throne. Despite these brutal origins, he proved a capable ruler and founded the Macedonian dynasty.","Thrace","Orthodox","false"
"Macedonian dynasty","Leo VI the Wise","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b3/Emperor_Leo_VI_detail_%28head%29.jpg/200px-Emperor_Leo_VI_detail_%28head%29.jpg","886","9377","Dynastic succession","Natural causes","A wise man whose marriages brought scandal.","Leo VI 'the Wise' was a prolific legislator and literary figure whose four marriages at a time when the church barely tolerated a second caused a major scandal. His true parentage was widely debated, as he may have been the son of Michael III rather than Basil I.","Constantinople","Orthodox","false"
"Macedonian dynasty","Alexander","https://upload.wikimedia.org/wikipedia/commons/b/ba/Emperor_Alexander_head.jpg","912","391","Dynastic succession","Natural causes","A year of reckless behavior including insulting foreign envoys, possibly ended by a polo match.","Alexander ruled for barely a year after his brother Leo VI's long reign. He is mainly remembered for his reckless behavior, including provoking a war with the Bulgars by insulting their envoys, and died suddenly, possibly from exhaustion after a polo match.","Constantinople","Orthodox","false"
"Macedonian dynasty","Constantine VII Porphyrogennetos","https://upload.wikimedia.org/wikipedia/commons/thumb/5/54/Constantine_VII_Porphyrogenitus_%28cropped%29.jpg/200px-Constantine_VII_Porphyrogenitus_%28cropped%29.jpg","913","16943","Dynastic succession","Natural causes","Sidelined for decades by in-laws and co-rulers, he pursued scholarly pursuits instead.","Constantine VII Porphyrogennetos was nominally emperor for over 46 years but was sidelined by his father-in-law Romanos I and other co-rulers for most of his reign. A prolific scholar, he produced detailed works including De Ceremoniis, De Administrando Imperio, and De Thematibus.","Constantinople","Orthodox","false"
"Macedonian dynasty","Romanos I Lekapenos","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f6/Seal_of_Romanos_I_Lekapenos_%28detail%29.jpg/200px-Seal_of_Romanos_I_Lekapenos_%28detail%29.jpg","920","8763","Usurped","Deposed","Outmaneuvered his way into power, then his own sons betrayed him.","Romanos I Lekapenos was a naval commander who married his daughter to Constantine VII and gradually assumed power as senior co-emperor. He was overthrown by his own sons, who were themselves then ousted by Constantine VII.","Armenia","Orthodox","false"
"Macedonian dynasty","Romanos II","https://upload.wikimedia.org/wikipedia/commons/c/ce/Romanos_%28cropped%29_%28cropped%29.JPG","959","1221","Dynastic succession","Natural causes","Dead at twenty-four, possibly poisoned, while his low-born wife went on to outlast everyone.","Romanos II married Theophano, a former tavern keeper's daughter who became one of the most powerful women in Byzantine history. He died at only about twenty-four, possibly poisoned, and Theophano went on to marry two successive emperors.","Constantinople","Orthodox","false"
"Macedonian dynasty","Nikephoros II Phokas","https://upload.wikimedia.org/wikipedia/commons/8/82/Nikephoros_Phokas_%28cropped_1%29.jpg","963","2305","Marriage","Murdered","An ascetic who slept on the floor and was murdered in his bed by his wife's lover.","Nikephoros II Phokas was a brilliant general who reconquered Crete and parts of Syria from the Arabs. So ascetic he slept on the floor, he was murdered in his bedchamber by John Tzimiskes with the help of Empress Theophano.","Anatolia","Orthodox","false"
"Macedonian dynasty","John I Tzimiskes","https://upload.wikimedia.org/wikipedia/commons/thumb/2/23/John_I_in_Madrid_Skylitzes2.jpg/200px-John_I_in_Madrid_Skylitzes2.jpg","969","2220","Dynastic succession","Murdered","He killed a ruler in bed with the empress's help, then conquered half the Middle East.","John I Tzimiskes was an Armenian general who murdered Nikephoros II Phokas in the imperial bedchamber with the help of Empress Theophano. He proved a formidable warrior, campaigning deep into Syria and the Balkans before dying suddenly, possibly poisoned.","Armenia","Orthodox","false"
"Macedonian dynasty","Basil II the Bulgar-Slayer","https://upload.wikimedia.org/wikipedia/commons/4/44/Basil_II_crop.png","976","18220","Dynastic succession","Natural causes","A man with a fitting nickname, whose lack of children brought turmoil.","Basil II came to power after a long struggle against powerful aristocratic families and became one of the most feared Byzantine emperors. He earned the nickname 'Bulgar-Slayer' for his brutal treatment of captured Bulgarian soldiers after the Battle of Kleidion in 1014 AD.","Constantinople","Orthodox","false"
"Macedonian dynasty","Constantine VIII","https://upload.wikimedia.org/wikipedia/commons/9/94/Constantine_VIII_in_the_Exultet_roll_(3).jpg","1025","1058","Dynastic succession","Natural causes","He stood in a famous brother's shadow for decades and only ruled alone at the very end.","Constantine VIII was technically co-emperor alongside his brother Basil II for decades but only exercised sole power for the last three years of his life. He had no sons, and his two daughters Zoe and Theodora became crucial to the imperial succession.","Constantinople","Orthodox","false"
"Macedonian dynasty","Romanos III Argyros","https://upload.wikimedia.org/wikipedia/commons/5/5d/Romanos_III_in_Madrid_Skylitzes.png","1028","1975","Dynastic succession","Murdered","He thought he was a scholar and a soldier; he was neither, and was possibly poisoned by his wife.","Romanos III Argyros was a senior senator forced to marry the aging princess Zoe to become emperor. He fancied himself a great military leader and intellectual but failed at both, and was found dead, likely murdered by associates of Zoe.","Constantinople","Orthodox","false"
"Macedonian dynasty","Michael IV the Paphlagonian","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b0/Michael_IV_the_Paphlagonian_%28cropped%29.jpg/200px-Michael_IV_the_Paphlagonian_%28cropped%29.jpg","1034","2793","Marriage","Natural causes","The empress fell for a commoner, her husband conveniently died, and the new man had seizures but governed well.","Michael IV the Paphlagonian was a handsome young man from a humble family who became emperor after catching Empress Zoe's eye. Despite suffering from severe epilepsy, he proved a surprisingly effective ruler and military commander before dying young.","Anatolia","Orthodox","false"
"Macedonian dynasty","Michael V Kalaphates","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5f/Michael_V_in_Madrid_Skylitzes.jpg/200px-Michael_V_in_Madrid_Skylitzes.jpg","1041","128","Usurped","Deposed","He bit the hand that adopted him and the whole city rose up to punish him.","Michael V Kalaphates was adopted by Empress Zoe as her heir but then tried to exile her and rule independently. The people of Constantinople rose up in a massive riot in Zoe's defense, and Michael was dragged from a church, blinded, and deposed after only four months.","Constantinople","Orthodox","false"
"Macedonian dynasty","ZoÃƒÂ«","https://upload.wikimedia.org/wikipedia/commons/thumb/f/fc/Zoe_mosaic_Hagia_Sophia_%28cropped%29.jpg/200px-Zoe_mosaic_Hagia_Sophia_%28cropped%29.jpg","1041","51","Dynastic succession","Natural causes","Three husbands, a famous mosaic, and a lifetime locked in a palace until middle age.","Zoe Porphyrogenita was a princess kept secluded in the palace until middle age who became central to the Byzantine succession through three marriages to successive emperors. She briefly co-ruled with her sister Theodora and is depicted in a famous mosaic in the Hagia Sophia.","Constantinople","Orthodox","false"
"Macedonian dynasty","Theodora","https://upload.wikimedia.org/wikipedia/commons/thumb/5/5d/Theodora_Porphyrogenita_crown.jpg/200px-Theodora_Porphyrogenita_crown.jpg","1041","416","Usurped","Deposed","The quieter sister who outlasted everyone and refused to share power at the end.","Theodora Porphyrogenita was the sister of Empress Zoe, recalled from a convent to co-rule during a crisis. She later ruled alone as the last member of the Macedonian dynasty, refusing to marry and share power.","Constantinople","Orthodox","false"
"Macedonian dynasty","Constantine IX Monomachos","https://upload.wikimedia.org/wikipedia/commons/0/0f/Emperor_Constantine_IX_%28cropped%29.jpg","1042","4590","Marriage","Natural causes","His mistress lived openly in the palace and the churches split permanently on his watch.","Constantine IX Monomachos married the elderly Empress Zoe to claim the throne and proved an extravagant spender who depleted the treasury. He openly kept a mistress in the palace and presided over the Great Schism of 1054 between the Eastern and Western churches.","Constantinople","Orthodox","false"
"Macedonian dynasty","Michael VI Bringas","https://upload.wikimedia.org/wikipedia/commons/thumb/c/c8/132_-_Michael_VI_Bringas_%28Mutinensis_-_color%29_%28cropped%29.png/200px-132_-_Michael_VI_Bringas_%28Mutinensis_-_color%29_%28cropped%29.png","1056","373","Appointed","Deposed","A pencil-pusher who picked a fight with the generals and predictably lost.","Michael VI Bringas was an elderly bureaucrat appointed emperor by the dying Empress Theodora. He alienated the military aristocracy by favoring civilian officials and was overthrown within a year by a coalition of generals led by Isaac Komnenos.","Constantinople","Orthodox","false"
"Macedonian dynasty","Isaac I Komnenos","https://upload.wikimedia.org/wikipedia/commons/thumb/8/8d/133_-_Isaac_I_Komnenos_%28Mutinensis_-_color%29.png/200px-133_-_Isaac_I_Komnenos_%28Mutinensis_-_color%29.png","1057","811","Usurped","Abdicated","He led a generals' revolt and tried to fix everything, but his health gave out first.","Isaac I Komnenos was a military aristocrat who led a revolt of eastern generals against Michael VI. He attempted sweeping reforms to restore the empire's finances and military strength but fell ill and abdicated after about two years to become a monk.","Anatolia","Orthodox","false"
"Doukas dynasty","Constantine X Doukas","https://upload.wikimedia.org/wikipedia/commons/d/de/Constantine_X_portrait.jpg","1059","2735","Appointed","Natural causes","He slashed the military budget just as mounted invaders appeared on the eastern horizon.","Constantine X Doukas was a leader of the civilian bureaucratic faction who took power after Isaac I's abdication. He neglected the army and reduced military spending at a time when the Seljuk Turks were emerging as a major threat on the eastern frontier.","Constantinople","Orthodox","false"
"Doukas dynasty","Eudokia Makrembolitissa","https://upload.wikimedia.org/wikipedia/commons/thumb/9/9e/Eudokia_Makrembolitissa_portrait.png/200px-Eudokia_Makrembolitissa_portrait.png","1059","218","Marriage","Natural causes","She broke a sacred oath not to remarry, and ended up in a convent for it.","Eudokia Makrembolitissa was the widow of Constantine X who served as regent for her young sons. She broke her oath not to remarry by marrying the general Romanos IV Diogenes but was forced into a convent when he was overthrown.","Constantinople","Orthodox","false"
"Doukas dynasty","Romanos IV Diogenes","https://upload.wikimedia.org/wikipedia/commons/thumb/f/f7/136_-_Romanos_IV_Diogenes_%28Mutinensis_-_color%29_%28cropped%29.png/200px-136_-_Romanos_IV_Diogenes_%28Mutinensis_-_color%29_%28cropped%29.png","1068","1330","Marriage","Murdered","He married a widow for the throne, rode east to fight, and came back blinded.","Romanos IV Diogenes was a military aristocrat who married the regent Eudokia to gain the throne and lead a campaign against the Seljuk Turks. He suffered a catastrophic defeat at the Battle of Manzikert in 1071 AD, was captured, and was later blinded and died from his injuries.","Anatolia","Orthodox","false"
"Doukas dynasty","Michael VII Doukas","https://upload.wikimedia.org/wikipedia/commons/5/5c/Michael_VII_Doukas_on_the_Holy_Crown_%28cropped%29.jpg","1071","2370","Dynastic succession","Natural causes","A eunuch advisor manipulated the grain supply and the people gave him a mocking nickname.","Michael VII Doukas took the throne after Romanos IV's defeat at Manzikert and was dominated by the eunuch Nikephoritzes. He earned the mocking nickname 'Parapinakes' (minus a quarter) for debasing the coinage and was eventually forced to abdicate and become a bishop.","Constantinople","Orthodox","false"
"Doukas dynasty","Nikephoros III Botaneiates","https://upload.wikimedia.org/wikipedia/commons/6/64/Nikephoros_III_%28cropped%29.jpg","1078","1089","Usurped","Deposed","Too old for the job from the start, he was quickly replaced by a younger military family.","Nikephoros III Botaneiates was an elderly general who overthrew Michael VII but could not control the empire's deteriorating military situation. He was quickly overthrown by the young general Alexios Komnenos and retired to a monastery.","Anatolia","Orthodox","false"
"Komnenos dynasty","Alexios I Komnenos","https://upload.wikimedia.org/wikipedia/commons/5/52/Alexios_I_Komnenos_%28cropped%29.jpg","1081","13639","Usurped","Natural causes","Inherited a dumpster fire, spent 37 years putting it out, and actually succeeded.","Alexios I Komnenos seized power as a young general and spent his 37-year reign fighting to save the empire from collapse, dealing with Norman invasions, Seljuk advances, and the First Crusade. His life was recorded in detail by his daughter Anna Komnene in the Alexiad.","Constantinople","Orthodox","false"
"Komnenos dynasty","John II Komnenos","https://upload.wikimedia.org/wikipedia/commons/thumb/e/e1/John_II_head.png/200px-John_II_head.png","1118","8994","Dynastic succession","Murdered","Twenty-five years of virtuous campaigning ended by a suspicious hunting wound.","John II Komnenos is considered one of the most virtuous Byzantine emperors, spending his entire 25-year reign on campaign reconquering territory in Anatolia and northern Syria. He died from a wound caused by a poisoned arrow during a hunting accident, though some suspected foul play.","Constantinople","Orthodox","false"
"Komnenos dynasty","Manuel I Komnenos","https://upload.wikimedia.org/wikipedia/commons/3/31/Manuel_I_Comnenus_%28cropped%29.jpg","1143","13671","Dynastic succession","Natural causes","He jousted like a western knight but lost at a mountain pass.","Manuel I Komnenos was a charismatic emperor who admired Western European customs and pursued an ambitious foreign policy spanning from Egypt to Italy to Hungary. His defeat by the Seljuk Turks at the Battle of Myriokephalon in 1176 AD saw the final effort by the Byzantines to recover all of Anatolia.","Constantinople","Orthodox","false"
"Komnenos dynasty","Alexios II Komnenos","https://upload.wikimedia.org/wikipedia/commons/4/4e/Alexios_II_Komnenos_%28Vat.gr.1851_folio_2v%29_%28cropped%29.jpg","1180","1095","Dynastic succession","Murdered","A ten-year-old strangled with a bowstring by a power-hungry cousin.","Alexios II Komnenos came to the throne at about ten years old under his mother's regency. His cousin Andronikos I seized power, had the boy strangled with a bowstring, and married the child's betrothed, the young French princess Agnes of France.","Constantinople","Orthodox","false"
"Komnenos dynasty","Andronikos I Komnenos","https://upload.wikimedia.org/wikipedia/commons/thumb/5/59/143_-_Andronikos_I_Komnenos_%28Mutinensis_-_color%29.png/200px-143_-_Andronikos_I_Komnenos_%28Mutinensis_-_color%29.png","1183","730","Usurped","Murdered","Decades as a fugitive and adventurer, then a brief tyranny ended by a mob.","Andronikos I Komnenos spent decades as a fugitive and adventurer across the eastern Mediterranean before seizing power in old age. He initially enacted popular reforms but became increasingly tyrannical and was torn apart by a mob in Constantinople.","Constantinople","Orthodox","false"
"Angelos dynasty","Isaac II Angelos","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d8/144_-_Isaac_II_Angelos_%28Mutinensis_-_color%29.png/200px-144_-_Isaac_II_Angelos_%28Mutinensis_-_color%29.png","1185","3492","Dynastic succession","Deposed","He killed his would-be arrester with his own hands, then his own brother took his eyes.","Isaac II Angelos came to power by personally killing the man sent to arrest him and rallying a mob in Constantinople. His reign saw Bulgarian independence reasserted and the Third Crusade pass through, before he was overthrown and blinded by his brother Alexios III.","Constantinople","Orthodox","false"
"Angelos dynasty","Alexios III Angelos","https://upload.wikimedia.org/wikipedia/commons/thumb/c/ca/145_-_Alexios_III_Angelos_%28Mutinensis_-_color%29.png/200px-145_-_Alexios_III_Angelos_%28Mutinensis_-_color%29.png","1195","3020","Usurped","Deposed","He blinded his brother for the throne, then ran without a fight when westerners came knocking.","Alexios III Angelos overthrew and blinded his own brother Isaac II to take the throne. His incompetent rule and refusal to honor obligations to the Fourth Crusade led directly to the crusaders' diversion against Constantinople, from which he fled without resistance.","Constantinople","Orthodox","false"
"Angelos dynasty","Alexios IV Angelos","https://upload.wikimedia.org/wikipedia/commons/thumb/1/1c/146_-_Alexios_IV_Angelos_%28Mutinensis_-_color%29.png/200px-146_-_Alexios_IV_Angelos_%28Mutinensis_-_color%29.png","1203","188","Usurped","Murdered","He made promises to crusaders he couldn't keep, and a palace insider strangled him for it.","Alexios IV Angelos escaped captivity and convinced the leaders of the Fourth Crusade to help restore his blinded father Isaac II to the throne. When he could not fulfill his lavish promises of payment, the situation deteriorated and he was strangled by the palace official Alexios V.","Constantinople","Orthodox","false"
"Angelos dynasty","Alexios V Doukas","https://upload.wikimedia.org/wikipedia/commons/1/10/Alexius_V_%28cropped%29.JPG","1203","76","Usurped","Murdered","He strangled the last guy and tried to hold the walls, but the city fell for the first time to fellow Christians.","Alexios V Doukas (Mourtzouphlos) strangled Alexios IV and seized the throne during the crisis of the Fourth Crusade camped outside Constantinople. He tried to defend the city but failed, and Constantinople fell and was sacked by a Christian army for the first time in 1204 AD.","Constantinople","Orthodox","false"
"Laskaris dynasty","Theodore I Laskaris","https://upload.wikimedia.org/wikipedia/commons/thumb/8/86/148_-_Theodore_I_Laskaris_%28Mutinensis_-_color%29.png/200px-148_-_Theodore_I_Laskaris_%28Mutinensis_-_color%29.png","1205","6020","Marriage","Natural causes","He fled to Anatolia after the capital fell and built a whole new state from scratch.","Theodore I Laskaris fled Constantinople after the Fourth Crusade's sack and established a government-in-exile in Nicaea. He built a new court and military, successfully defending his territory against both Latin occupiers and rival Greek successor states.","Constantinople","Orthodox","false"
"Laskaris dynasty","John III Doukas Vatatzes","https://upload.wikimedia.org/wikipedia/commons/thumb/2/24/149_-_John_III_Doukas_Vatatzes_%28Mutinensis_-_color%29.png/200px-149_-_John_III_Doukas_Vatatzes_%28Mutinensis_-_color%29.png","1221","12010","Marriage","Natural causes","A farmer-emperor so beloved in exile that the local church made him a saint.","John III Doukas Vatatzes was the most successful emperor of the Nicaean exile, expanding territory in both Europe and Asia. He was so beloved that he was later venerated as a saint by the local church and nearly reconquered Constantinople before his death.","Anatolia","Orthodox","false"
"Laskaris dynasty","Theodore II Laskaris","https://upload.wikimedia.org/wikipedia/commons/thumb/6/64/Theodoros_II_Laskaris_%28cropped%29.jpg/200px-Theodoros_II_Laskaris_%28cropped%29.jpg","1254","1378","Dynastic succession","Natural causes","A sick intellectual who trusted commoners over nobles and paid for it with their hatred.","Theodore II Laskaris was a scholarly and intellectual emperor of Nicaea who suffered from severe epilepsy. He distrusted the aristocracy and promoted men of lower birth, making himself deeply unpopular with the nobility before dying young.","Anatolia","Orthodox","false"
"Laskaris dynasty","John IV Laskaris","https://upload.wikimedia.org/wikipedia/commons/thumb/6/6b/151_-_John_IV_Laskaris_%28Mutinensis_-_color%29_%28cropped%29.png/200px-151_-_John_IV_Laskaris_%28Mutinensis_-_color%29_%28cropped%29.png","1258","1224","Dynastic succession","Deposed","Blinded by his guardian on Christmas Day and locked away for decades.","John IV Laskaris was a child emperor of Nicaea who was blinded and deposed by his regent Michael Palaiologos on Christmas Day. He was confined to a fortress for the rest of his life, and his blinding led to the excommunication of Michael by the Patriarch.","Anatolia","Orthodox","false"
"Palaiologos dynasty","Michael VIII Palaiologos","https://upload.wikimedia.org/wikipedia/commons/thumb/2/2e/Miniature_of_Michael_VIII_%28cropped%29.png/200px-Miniature_of_Michael_VIII_%28cropped%29.png","1259","8735","Dynastic succession","Natural causes","He blinded a child, took back the great city, and tried to make peace with the western church.","Michael VIII Palaiologos was the regent who blinded the child emperor John IV Laskaris and then recaptured Constantinople from the Latin Empire in 1261 AD. He pursued a controversial union with the Western church to prevent further crusader attacks, making him deeply unpopular domestically.","Anatolia","Orthodox","false"
"Palaiologos dynasty","Andronikos II Palaiologos","https://upload.wikimedia.org/wikipedia/commons/thumb/d/d3/Miniature_of_Andronikos_II_%28cropped%29.png/200px-Miniature_of_Andronikos_II_%28cropped%29.png","1282","16588","Dynastic succession","Deposed","Forty-five years of decline, a mercenary company gone rogue, and a grandson who overthrew him.","Andronikos II Palaiologos ruled for over 45 years but presided over a steady decline of the Byzantine Empire. He reversed his father's church union, hired the Catalan Company whose mercenaries ravaged his own territories, and was eventually deposed by his grandson Andronikos III.","Constantinople","Orthodox","false"
"Palaiologos dynasty","Michael IX Palaiologos","https://upload.wikimedia.org/wikipedia/commons/thumb/6/60/154_-_Michael_IX_Palaiologos_%28Mutinensis_-_color%29.png/200px-154_-_Michael_IX_Palaiologos_%28Mutinensis_-_color%29.png","1294","9631","Dynastic succession","Natural causes","A lifetime as co-ruler without real power, ending in grief over a family accident.","Michael IX Palaiologos served as co-emperor alongside his father Andronikos II for decades but never held sole power. He was closely involved in the disastrous Catalan Company affair and reportedly died of grief after his son accidentally caused the death of his younger brother.","Constantinople","Orthodox","false"
"Palaiologos dynasty","Andronikos III Palaiologos","https://upload.wikimedia.org/wikipedia/commons/5/5c/%D0%90%D0%BD%D0%B4%D1%80%D0%BE%D0%BD%D0%B8%D0%BA_III_%D0%9F%D0%B0%D0%BB%D0%B5%D0%BE%D0%BB%D0%BE%D0%B3_%28cropped%29.jpg","1328","4767","Dynastic succession","Natural causes","He accidentally killed his brother, overthrew his grandfather, then died young leaving chaos behind.","Andronikos III Palaiologos overthrew his grandfather Andronikos II in a civil war after accidentally causing his brother's death led to his disinheritance. He proved an active military ruler who personally led campaigns, but his early death left a young son and triggered another devastating civil war.","Constantinople","Orthodox","false"
"Palaiologos dynasty","John V Palaiologos","https://upload.wikimedia.org/wikipedia/commons/thumb/b/ba/Restored_mosaic_of_John_V_Palaiologos_%28head_cropped%29.jpg/200px-Restored_mosaic_of_John_V_Palaiologos_%28head_cropped%29.jpg","1341","18126","Dynastic succession","Natural causes","Fifty years on a shrinking throne, personally converting faiths for help that never came.","John V Palaiologos became emperor as a child and reigned for nearly 50 years as the empire shrank to almost nothing. He traveled to the west and personally converted to Catholicism seeking military aid against the Ottomans, but received little help and was repeatedly deposed by his own relatives.","Constantinople","Catholic","false"
"Palaiologos dynasty","John VI Kantakouzenos","https://upload.wikimedia.org/wikipedia/commons/9/97/Johannes_VI._Cantacuzenos_%28cropped%29.jpg","1347","2857","Usurped","Deposed","A regent who seized the throne, then gave it up to write history as a monk.","John VI Kantakouzenos was originally the chief minister and regent for the young John V before launching a civil war to seize power. He later abdicated and became a monk, writing a valuable history of his own times.","Constantinople","Orthodox","false"
"Palaiologos dynasty","Andronikos IV Palaiologos","https://upload.wikimedia.org/wikipedia/commons/thumb/b/b7/158_-_Andronikos_IV_Palaiologos_%28Mutinensis_-_color%29.png/200px-158_-_Andronikos_IV_Palaiologos_%28Mutinensis_-_color%29.png","1376","1049","Usurped","Deposed","He rebelled against his father, was partially blinded, and kept plotting anyway.","Andronikos IV Palaiologos rebelled against his father John V and briefly seized the throne with Ottoman and Genoese help. He was blinded as punishment, though not completely, and continued to plot, representing the tragic infighting of the dynasty's final century.","Constantinople","Orthodox","false"
"Palaiologos dynasty","John VII Palaiologos","https://upload.wikimedia.org/wikipedia/commons/0/09/Closeup_of_John_VII_Palaiologos_%28cropped%29.jpg","1385","1760","Usurped","Natural causes","A rebel who redeemed himself as a competent caretaker while his uncle begged for help abroad.","John VII Palaiologos briefly seized the throne from his grandfather John V with Ottoman support. He later reconciled with the family and served as a competent regent in Constantinople during a siege while his uncle Manuel II traveled in Western Europe.","Constantinople","Orthodox","false"
